Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Estimated reference length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# N's per 100 kbp
scaffolds	1088795	108352	35048	17083	3819	529	869434164	635266913	472846681	346011882	143859492	33959943	52432	129917	540390606	635000000	43.91	14081	11415	7430	4891	10678	14413	23955	35736	687.92
scaffolds_broken	-	-	37842	12362	1050	42	-	-	372576040	196152286	34176205	2385479	84438	76658	518994516	635000000	43.88	7766	6198	4667	3154	19566	27934	41294	63964	0.00
