Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Estimated reference length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# N's per 100 kbp
scaffolds	938210	104072	35219	17486	4007	575	837002601	638049085	483291230	358025396	151469531	36458522	52101	155803	548869041	635000000	43.87	14587	12042	7625	5232	10542	13794	23616	33843	580.13
scaffolds_broken	-	-	38875	13765	1309	60	-	-	397829900	223204469	42951028	3389287	80523	89863	531076102	635000000	43.85	8482	6902	4989	3478	18363	25171	38971	57683	0.00
