Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Estimated reference length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# N's per 100 kbp
scaffolds	1422496	107533	34434	17126	3934	556	912572596	635590475	474724046	352434769	148997044	35536169	51239	176566	539924893	635000000	43.87	14784	11836	7639	4950	10318	13912	23131	34741	641.53
scaffolds_broken	-	-	37875	13071	1233	40	-	-	383608717	211167198	40044627	2274170	80982	92853	519898447	635000000	43.84	8234	6553	4870	3229	18455	26306	39155	60943	0.00
