Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Estimated reference length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# N's per 100 kbp
scaffolds	938489	104075	35226	17490	4014	574	837070928	638067579	483397738	358108689	151531835	36310824	52087	155803	548885813	635000000	43.87	14592	12057	7631	5233	10544	13793	23611	33830	579.94
scaffolds_broken	-	-	38886	13786	1299	60	-	-	397968405	223394038	42566524	3382552	80490	89863	531070793	635000000	43.84	8493	6907	4992	3477	18361	25161	38953	57659	0.00
