Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Estimated reference length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# N's per 100 kbp
scaffolds	1129913	105713	34913	17438	4207	651	889920861	644991322	488205201	364777083	161452007	42183523	51674	142490	553408247	635000000	43.98	15053	12514	7715	5409	10228	13205	23151	32617	733.46
scaffolds_broken	-	-	38681	12631	1113	49	-	-	381672145	200900870	36134653	2795890	86796	81176	531036856	635000000	43.94	7799	6416	4669	3301	19972	27326	42120	61990	0.00
