correct_sample_id	total_sequences_F	fast_qc_mqc_generalstats_percent_fails_F	fast_qc_mqc_generalstats_percent_gc_F	fast_qc_mqc_generalstats_percent_duplicates_F
NoWGA_Adu-AMat_NR_10	22626345	36.36363636363637	42	22.857663752428152
NoWGA_Adu-AMat_NR_3.2	18538669	45.45454545454545	44	26.625514605061667
NoWGA_Adu-AMat_R_10	32061574	36.36363636363637	43	24.343559829693547
NoWGA_Adu-AMat_R_3.2	20795529	36.36363636363637	41	24.287086798419693
NoWGA_Adu-CHam_NR_10	37212563	36.36363636363637	45	42.070497888102174
NoWGA_Adu-CHam_NR_1	56793298	27.27272727272727	43	51.27821430524056
NoWGA_Adu-CHam_NR_3.2	55032990	36.36363636363637	46	45.680206778047626
NoWGA_Adu-CHam_R_10	56331948	18.181818181818183	44	37.40778707229235
NoWGA_Adu-CHam_R_1	52844376	18.181818181818183	43	47.41036400907812
NoWGA_Adu-CHam_R_3.2	50799485	18.181818181818183	43	41.06959540315389
NoWGA_Aur-APnb_NR_10	27678786	45.45454545454545	46	29.507472957882825
NoWGA_Aur-APnb_NR_3.2	8601064	45.45454545454545	47	36.03397946783247
NoWGA_Aur-APnb_R_10	33003867	27.27272727272727	41	27.89061047988858
NoWGA_Aur-APnb_R_1	9157951	36.36363636363637	42	28.992019630405025
NoWGA_Aur-APnb_R_3.2	16608468	36.36363636363637	41	26.354821702992396
NoWGA_Aur-CRag22_NR_10	44723651	18.181818181818183	43	31.182561856122476
NoWGA_Aur-CRag22_NR_1	58690522	27.27272727272727	44	46.48714369414597
NoWGA_Aur-CRag22_NR_3.2	43858048	18.181818181818183	42	37.263624067757064
NoWGA_Aur-CRag22_R_10	53662110	27.27272727272727	44	34.10634506615658
NoWGA_Aur-CRag22_R_1	61284331	18.181818181818183	43	42.4419164190001
NoWGA_Aur-CRag22_R_3.2	57420661	18.181818181818183	43	39.658180324315225
NoWGA_Aur-CRag39_NR_10	50929542	18.181818181818183	44	31.256109415942092
NoWGA_Aur-CRag39_NR_1	25661530	27.27272727272727	42	51.08876512139278
NoWGA_Aur-CRag39_NR_3.2	50499449	18.181818181818183	43	35.87121355039065
NoWGA_Aur-CRag39_R_10	50545954	18.181818181818183	44	34.03808443557162
NoWGA_Aur-CRag39_R_1	63050259	36.36363636363637	45	40.84834764969533
NoWGA_Aur-CRag39_R_3.2	52716296	18.181818181818183	44	30.41212845047949
NoWGA_Lle-AMnt_NR_10	23163090	45.45454545454545	52	28.936374940299643
NoWGA_Lle-AMnt_NR_3.2	23530774	36.36363636363637	50	25.354830969366787
NoWGA_Lle-AMnt_R_10	29179748	36.36363636363637	50	27.188805570631317
NoWGA_Lle-AMnt_R_1	23568689	27.27272727272727	49	27.41735214616948
NoWGA_Lle-AMnt_R_3.2	27542172	36.36363636363637	50	25.023370082013187
NoWGA_Lle-CNas_NR_10	47812080	27.27272727272727	47	27.264345546026036
NoWGA_Lle-CNas_NR_1	21695215	27.27272727272727	49	38.428300889624055
NoWGA_Lle-CNas_NR_3.2	54031042	27.27272727272727	48	32.48654387509113
NoWGA_Lle-CNas_R_10	47908566	36.36363636363637	49	30.262177024259643
NoWGA_Lle-CNas_R_1	41999036	18.181818181818183	46	42.51886391963019
NoWGA_Lle-CNas_R_3.2	45289422	9.090909090909092	45	36.18350153999174
NoWGA_Sob-ABil_NR_10	22792079	45.45454545454545	56	40.04411418639462
NoWGA_Sob-ABil_NR_1	14629481	36.36363636363637	49	31.884498506060197
NoWGA_Sob-ABil_NR_3.2	39269834	36.36363636363637	49	28.498527912396582
NoWGA_Sob-ABil_R_10	37446097	36.36363636363637	49	27.8802761286629
NoWGA_Sob-ABil_R_1	17064714	27.27272727272727	50	31.34644038248011
