file 	#reads_raw	#reads_fp1	#reads_clmp	#reads_fp2	#reads_fqscrn	#reads_repr	%_readLoss_fp1	%_readLoss_clmp	%_readLoss_fp2	%_readLoss_fqscrn	%_readLoss_repr	%_total_readLoss
Sfa-CBas_028-Ex1-1G_L4_1.fq.gz	208701252	197422199	162836856	144292733	138098244	133487839	5.4044	17.5185	11.3882	4.293	3.3385	36.0388
Sfa-CBas_028-Ex1-1G_L4_2.fq.gz	208701252	197422199	162836856	144292733	138303618	133487839	5.4044	17.5185	11.3882	4.15067	3.48203	36.0388
Sfa-CBas_028-Ex1-1H_L4_1.fq.gz	170899401	162225984	138626542	120912106	115735215	112026539	5.07516	14.5473	12.7785	4.28153	3.20445	34.4488
Sfa-CBas_028-Ex1-1H_L4_2.fq.gz	170899401	162225984	138626542	120912106	115907229	112026539	5.07516	14.5473	12.7785	4.13927	3.3481	34.4488
Sfa-CBas_028-Ex1-2A_L4_1.fq.gz	261683170	252105983	203062991	179074641	171423693	165753993	3.65984	19.4533	11.8133	4.27249	3.30742	36.6585
Sfa-CBas_028-Ex1-2A_L4_2.fq.gz	261683170	252105983	203062991	179074641	171680562	165753993	3.65984	19.4533	11.8133	4.12905	3.45209	36.6585
