file	#_reads_raw	#_reads_fp1	#_reads_clmp	#_reads_fp2	#_reads_fqscrn	#_reads_repr	%_readsRemaining_fp1	%_readsRemaining_clmp	%_readsRemaining_fp2	%_readsRemaining_fqscrn	%_readsRemaining_repr	%_total_readsRemaining
Sfa-CBas_028-Ex1-1G_L4_1.fq.gz	208701252	197422199	162836856	144292733	138098244	133487839	94.5956	82.4815	88.6118	95.707	96.6615	63.9612
Sfa-CBas_028-Ex1-1G_L4_2.fq.gz	208701252	197422199	162836856	144292733	138303618	133487839	94.5956	82.4815	88.6118	95.8493	96.518	63.9612
Sfa-CBas_028-Ex1-1H_L4_1.fq.gz	170899401	162225984	138626542	120912106	115735215	112026539	94.9248	85.4527	87.2215	95.7185	96.7956	65.5512
Sfa-CBas_028-Ex1-1H_L4_2.fq.gz	170899401	162225984	138626542	120912106	115907229	112026539	94.9248	85.4527	87.2215	95.8607	96.6519	65.5512
Sfa-CBas_028-Ex1-2A_L4_1.fq.gz	261683170	252105983	203062991	179074641	171423693	165753993	96.3402	80.5467	88.1867	95.7275	96.6926	63.3415
Sfa-CBas_028-Ex1-2A_L4_2.fq.gz	261683170	252105983	203062991	179074641	171680562	165753993	96.3402	80.5467	88.1867	95.871	96.5479	63.3415
